over,under
Lilyvale beds,Buthen Buthen Granite
Lilyvale beds,McIlwraith Granite
Limbunya Group,Tolmer Group
Antrim Plateau Volcanics,Limbunya Group
Roper Group,Limbunya Group
Wattie Group,Limbunya Group
Wickham Formation,Limbunya Group
Limbunya Group,Inverway Metamorphics
Limbunya Group,Birrindudu Group
Mainoru Formation,Limmen Sandstone
Limmen Sandstone,Dungaminnie Formation
Limmen Sandstone,Urapunga Granite
Gibb Member,Limmen Sandstone
Nullawun Member,Limmen Sandstone
Limmen Sandstone,Mantungula Formation
Limmen Sandstone,Dook Creek Formation
Limmen Sandstone,Karns Dolomite
Limmen Sandstone,McArthur Group
Limmen Sandstone,Nathan Group
Panton Formation,Linnekar Limestone
Linnekar Limestone,Nelson Shale
Lion Creek Limestone,Malchi Formation
Liscombe Pools Limestone,Millambri Formation
Gospel Oak Shale,Liscombe Pools Limestone
Nimbin Rhyolite,Lismore Basalt
Mount Birnie beds,Little Burke Tillite
Little Burke Tillite,Overhang Jaspilite
Little River Coal Measures,Chillagoe Formation
Dalrymple Sandstone,Little River Coal Measures
Ljiltera Member,Ooraminna Sandstone Member
Ljiltera Member,Owen Springs Sandstone Member
Undandita Member,Ljiltera Member
Spencer Sandstone,Lloyd Creek Formation
Lloyd Creek Formation,Pinkerton Sandstone
Lochinvar Formation,Seaham Formation
Allandale Formation,Lochinvar Formation
Quilalar Formation,Lochness Formation
Torpedo Creek Quartzite,Lochness Formation
Lochness Formation,Whitworth Quartzite
Keraudren Formation,Locker Shale
Locker Shale,Kennedy Group
Locker Shale,Bedout Volcanics
Cossigny Member,Locker Shale
Mungaroo Formation,Locker Shale
Birdrong Sandstone,Locker Shale
Locker Shale,Chinty Formation
Bury Limestone,Log Creek Formation
Log Creek Formation,Eastwood Formation
Lissoy Sandstone,Log Creek Formation
Lollypop Formation,Myrtlevale Formation
Lollypop Formation,Dotswood Group
Hardwick Formation,Lollypop Formation
Londonderry Clay,Rickabys Creek Gravel
Agnes Banks Sand,Londonderry Clay
Long Flat Volcanics,Jinglemoney Conglomerate
Long Flat Volcanics,Larbert Conglomerate
Longford Limestone,Lakes Entrance Formation
Wuk Wuk Marl,Longford Limestone
Wallumbilla Formation,Longsight Sandstone
Cardinal View Shale,Lookdown Limestone
Lookdown Limestone,Adaminaby Group
Smythe Sandstone,Looking Glass Formation
Nathan Group,Looking Glass Formation
Amos Formation,Looking Glass Formation
Looking Glass Formation,Stretton Sandstone
Banks Wall Sandstone,Mount York Claystone
Loongana Formation,Decoration Sandstone
Madura Formation,Loongana Formation
Brumby Mafic Arenite Member,Banksia Chert Member
Upper Limestone Member,Lords Siltstone Member
Lords Siltstone Member,Lower Limestone Member
Gog Range Greywacke,Lorinna Greywacke
Lorinna Greywacke,Barrington Chert
Yappar Member,Loth Formation
Gilbert River Formation,Loth Formation
Loth Formation,Hampstead Sandstone
Lothari Hill Sandstone,Hooker Creek Formation
Point Wakefield beds,Lothari Hill Sandstone
Lake Surprise Sandstone,Lothari Hill Sandstone
Antrim Plateau Volcanics,Louisa Downs Group
Louisa Downs Group,Lamboo Complex
Louisa Downs Group,Kuniandi Group
Louisa Downs Group,Crowhurst Group
Louisa Downs Group,Colombo Sandstone
Louisa Downs Group,Glidden Group
Lovetts Formation,Buckburraga Slate
Lowana Formation,Yarrimie Formation
Eungai Mudstone,Lowana Formation
Keepit Conglomerate,Lowana Formation
Boolaroo Subgroup,Adamstown Subgroup
Lambie Group,Banshea Granite
Baralaba Coal Measures,Burunga Formation
Rewan Group,Baralaba Coal Measures
Baralaba Coal Measures,Wiseman Formation
